name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 33283 b,Confirmed,0.33,,,0.33,,,0.99,,,18.1801,0.008,0.008,0.168,,,0.458,0.0656,0.0569,,,,0.001953,2006,2/16/15,156,9.6,9.6,2453560,0.3,0.3,,,,,,,,,,,,,,,,,,,24.48,2.41,2.41,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 33283,77.0041667,-26.7972222,8.05,,,,,86,,,0.366,0.05,0.05,1.24,0.1,0.1,1.2,0.1,0.1,G3V,3.2,2.3,2.3,5995,50,50,,,
HD 33473 A b,Unconfirmed,7.2,0.3,0.3,,,,0,,,2798,60,60,4.17,0.09,0.09,0.07,0.01,0.01,,,,0.077944,2010,6/8/17,141,15,15,55053,93,93,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,HD 33473 A,77.125,-41.2136111,6.71,,,,,53.5,1.5,1.5,-0.13,0.04,0.04,1.23,0.03,0.03,2.23,0.09,0.09,G3V,4.4,0.3,0.3,5740,62,62,,,
HD 33564 b,Confirmed,9.1,,,9.1,,,0,,,388,3,3,1.1,,,0.34,0.02,0.02,,,,0.052431,2005,12/23/10,205,4,4,52603,8,8,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 33564,80.6375,79.2311111,5.08,,,,,20.98,0.2,0.2,-0.12,,,1.25,0.04,0.04,1.1,,,F6 V,3,0.3,0.3,6250,,,,,
HD 34445 b,Confirmed,0.629,0.028,0.028,0.629,0.028,0.028,0,,,1056.7,4.7,4.7,2.075,0.016,0.016,0.014,0.035,0.035,,,,0.044516,2004,11/6/17,115,92,92,2453781,48,48,,,,,,,,,,,,,,,,,,,12.01,0.52,0.52,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,1.5,1.5,0.14,0.04,0.04,1.07,0.02,0.02,1.38,0.08,0.08,G0V,8.5,2,2,5836,44,44,,,
HD 34445 c,Confirmed,0.168,0.016,0.016,0.168,0.016,0.016,0,,,214.67,0.45,0.45,0.7181,0.0049,0.0049,0.036,0.071,0.071,,,,,2017,11/6/17,149,75,75,,,,,,,,,,,,,,,,,,,,,,5.45,0.5,0.5,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,1.5,1.5,0.14,0.04,0.04,1.07,0.02,0.02,1.38,0.08,0.08,G0V,8.5,2,2,5836,44,44,,,
HD 34445 d,Confirmed,0.097,0.037,0.13,0.097,0.037,0.13,0,,,117.87,0.18,0.18,0.4817,0.0033,0.0033,0.027,0.051,0.051,,,,,2017,11/6/17,246,97,97,,,,,,,,,,,,,,,,,,,,,,3.81,0.48,0.48,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,1.5,1.5,0.14,0.04,0.04,1.07,0.02,0.02,1.38,0.08,0.08,G0V,8.5,2,2,5836,44,44,,,
HD 34445 e,Confirmed,0.0529,0.0089,0.0089,0.0529,0.0089,0.0089,0,,,49.175,0.045,0.045,0.2687,0.0019,0.0019,0.09,0.062,0.062,,,,,2017,11/6/17,304,120,120,,,,,,,,,,,,,,,,,,,,,,2.75,0.47,0.47,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,1.5,1.5,0.14,0.04,0.04,1.07,0.02,0.02,1.38,0.08,0.08,G0V,8.5,2,2,5836,44,44,,,
HD 34445 f,Confirmed,0.119,0.021,0.021,0.119,0.021,0.021,0,,,676.8,7.9,7.9,1.543,0.016,0.016,0.031,0.031,0.057,,,,,2017,11/6/17,212,86,86,,,,,,,,,,,,,,,,,,,,,,2.74,0.46,0.46,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,1.5,1.5,0.14,0.04,0.04,1.07,0.02,0.02,1.38,0.08,0.08,G0V,8.5,2,2,5836,44,44,,,
HD 34445 g,Confirmed,0.38,0.13,0.13,0.38,0.13,0.13,0,,,5700,1500,1500,6.36,1.02,1.02,0.032,0.08,0.08,,,,,2017,11/6/17,235,92,92,,,,,,,,,,,,,,,,,,,,,,4.08,0.98,0.98,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,1.5,1.5,0.14,0.04,0.04,1.07,0.02,0.02,1.38,0.08,0.08,G0V,8.5,2,2,5836,44,44,,,
HD 3651 b,Confirmed,0.231,0.01,0.291,0.229,0.008,0.008,0,,,62.218,0.015,0.015,0.295,0.003,0.003,0.596,0.036,0.036,83,56,56,0.025818,2003,2/1/16,242.5,4.5,4.5,2453932.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 3651,9.8375,21.2502778,5.8,,,,,11,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173,,,,,
HD 3651 c,Confirmed,0.09,0.03,0.03,0.09,0.03,0.03,0,,,31,0.02,0.02,0.186,0.002,0.002,0.04,0.2,0.2,,,,,2013,7/4/13,55,66,66,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 3651,9.8375,21.2502778,5.8,,,,,11,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173,,,,,
HD 37124 b,Confirmed,0.675,0.017,0.017,0.675,0.017,0.017,0,,,154.378,0.028,0.028,0.53364,0.0002,0.0002,0.054,0.03,0.03,,,,0.016171,1999,5/20/13,130,,,2450305,11,11,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,,,-0.442,,,0.83,,,0.82,,,G4 V,3.33,,,5610,70,70,,,
HD 37124 c,Confirmed,0.652,0.052,0.052,0.652,0.052,0.052,0,,,885.5,5.1,5.1,1.71,0.0065,0.0065,0.125,0.055,0.055,,,,0.051818,2005,5/20/13,53,17,17,2449534,11,11,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,,,-0.442,,,0.83,,,0.82,,,G4 V,3.33,,,5610,70,70,,,
HD 37124 d,Confirmed,0.696,0.059,0.059,0.696,0.059,0.059,0,,,1862,38,38,2.807,0.038,0.038,0.16,0.14,0.14,,,,0.085061,2003,5/20/13,360,,,2448558,11,11,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,,,-0.442,,,0.83,,,0.82,,,G4 V,3.33,,,5610,70,70,,,
HD 37605 b,Confirmed,2.813,0.032,0.032,2.813,0.032,0.032,0,,,55.01307,0.00063,0.00063,0.2837,0.0016,0.0016,0.6767,0.0019,0.0019,,,,0.006613,2004,10/29/12,220.86,0.27,0.27,2453378.241,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37605,85.0041667,6.0605556,8.66,,,,,44,2.1,2.1,0.34,0.03,0.03,1,0.05,0.05,0.9,0.045,0.045,K0V,7,,,5448,44,44,,,
HD 37605 c,Confirmed,3.366,0.072,0.072,3.366,0.072,0.072,0,,,2720,57,57,3.814,0.058,0.058,0.013,0.015,0.015,,,,,2012,10/29/12,221,78,78,2454838,581,581,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37605,85.0041667,6.0605556,8.66,,,,,44,2.1,2.1,0.34,0.03,0.03,1,0.05,0.05,0.9,0.045,0.045,K0V,7,,,5448,44,44,,,
HD 38529 b,Confirmed,0.93,0.11,0.21,0.78,,,0,,,14.3104,0.0002,0.0002,0.131,0.0015,0.0015,0.248,0.007,0.007,57,14,14,0.003335,2000,5/11/11,95.9,1.7,1.7,50020.19,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.4,0.4,0.27,0.05,0.05,1.48,0.05,0.05,2.44,0.22,0.22,G4 IV,3.28,0.3,0.3,5697,,,IR Excess,,
HD 38529 c,Confirmed,23.7,3.1,4.1,17.7,1.4,1.7,0,,,2134.76,0.4,0.4,3.695,0.043,0.043,0.36,0.003,0.003,48.3,4,4,0.094068,2002,5/26/14,22.52,0.7,0.7,48002,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.4,0.4,0.27,0.05,0.05,1.48,0.05,0.05,2.44,0.22,0.22,G4 IV,3.28,0.3,0.3,5697,,,IR Excess,,
HD 38529 d,Unconfirmed,0.17,0.06,0.06,,,,0,,,193.9,2.9,2.9,0.74,0.14,0.14,0.23,0.13,0.13,,,,0.018839,2010,3/2/10,160,9,9,52578.5,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.4,0.4,0.27,0.05,0.05,1.48,0.05,0.05,2.44,0.22,0.22,G4 IV,3.28,0.3,0.3,5697,,,IR Excess,,
HD 38801 b,Confirmed,10.7,0.5,0.5,10.7,0.5,0.5,0,,,696.3,2.7,2.7,1.7,0.037,0.037,0,,,,,,0.017103,2010,12/15/10,,,,2453966,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38801,86.9958333,-8.3277778,8.26,,,,,99.4,,,0.26,0.03,0.03,1.36,0.09,0.09,2.53,0.13,0.13,K0IV,4.67,2.56,2.56,5222,44,44,,,
HD 39091 b,Confirmed,10.3,,,10.3,,,0,,,2049,150,150,3.28,,,0.61,0.03,0.03,,,,0.179039,2001,1/1/11,330,20,20,50073,150,150,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 39091,84.2875,-80.4688889,5.67,,,,,18.32,0.09,0.09,0.09,,,1.1,,,2.1,0.6,0.6,G1 IV,3.83,,,5888,,,,,
HD 40956 b,Confirmed,2.7,0.6,0.6,2.7,0.6,0.6,0,,,578.6,3.3,3.3,1.4,0.1,0.1,0.24,0.05,0.05,,,,,2017,11/17/17,338.62,7.7,7.7,2455341.88,11,11,,,,,,,,,,,,,,,,,,,68,2,2,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 40956,91.66250001,63.4538889,6.6,,,,,118,8,8,0.14,0.05,0.05,2,1.94,1.94,8.56,0.33,0.33,K0,1.35,0.18,0.18,4869,28,28,,,
HD 40979 b,Confirmed,4.01,0.13,0.13,4.01,0.13,0.13,0,,,264.1,0.23,0.23,0.846,0.007,0.007,0.252,0.014,0.014,,,,0.024925,2002,2/1/16,323.4,4.1,4.1,2453919,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 40979,91.1208333,44.2602778,6.74,,,,,33.3,,,0.194,,,1.1,,,1.21,,,F8 V,1.48,,,6205,50,50,IR Excess,,
HD 41248 b,Unconfirmed,0.0387,0.0132,0.017,,,,0,,,18.357,0.066,0.044,0.137,0.011,0.017,0.15,0.11,0.15,,,,,2013,8/18/17,183,180,180,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,HD 41248,90.1375,-56.1619,8.82,,,,,52.38,1.95,1.95,-0.43,0.1,0.1,0.92,0.05,0.05,0.78,0.04,0.04,G2V,2,3,2,5713,50,50,,,
HD 41248 c,Confirmed,0.0223,0.0111,0.00551,0.0223,0.0111,0.00551,0,,,13.365,0.12,0.22,0.107,0.004,0.005,0.0117,0.0871,0.2453,,,,,2013,8/18/17,54,-228,120,,,,,,,,,,,,,,,,,,,,,,1.86,0.83,0.19,0,,,,,0,,,,Published in a refereed paper,Other,Radial Velocity,,,,HD 41248,90.1375,-56.1619,8.82,,,,,52.38,1.95,1.95,-0.43,0.1,0.1,0.92,0.05,0.05,0.78,0.04,0.04,G2V,2,3,2,5713,50,50,,,
HD 42012 b,Confirmed,1.6,0.1,0.1,1.6,0.1,0.1,0,,,857.5,6.3,6.2,1.67,0.06,0.05,0,0,0.2,,,,,2017,6/29/17,,,,2455386.2,10,10,,,,,,,,,,,,,,,,,,,39,0.9,0.9,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 42012,92.48541669,34.13530556,8.44,,,,,37.1,1.2,1.2,-0.09,0.08,0.08,0.83,0.08,0.08,0.82,0.08,0.08,K0,4.1,3.6,3.6,5405,45,45,,, 2MASS J06095646+3408076
HD 4203 b,Confirmed,1.82,0.05,0.05,1.82,0.05,0.05,0,,,437.05,0.27,0.27,1.164,0.067,0.067,0.52,0.02,0.02,,,,0.015019,2001,1/11/14,328.03,2.9,2.9,2451911.52,2.38,2.38,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 4203,11.1708333,20.4488889,8.68,,,,,77.5,,,0.453,,,1.13,,,1.33,,,G5,9.41,,,5701,,,,,
HD 4208 b,Confirmed,0.804,0.073,0.073,0.804,0.073,0.073,0,,,828,8.1,8.1,1.65,0.096,0.096,0.052,0.04,0.04,,,,0.050147,2001,1/21/16,345,,,2451040,120,120,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 4208,11.1083333,-26.5155556,7.79,,,,,33.9,,,-0.284,,,0.87,,,0.85,,,G5 V,4.47,,,5571,,,,,
HD 4308 b,Confirmed,0.0405,0.005,0.005,0.0405,0.005,0.005,0,,,15.609,0.007,0.007,0.118,0.009,0.009,0.27,0.12,0.12,,,,0.005388,2005,1/10/16,210,21,21,2450108.5,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 4308,11.1625,-65.6494444,6.54,,,,,21.9,,,-0.34,,,0.85,,,0.92,,,G5 V,7.1,3,3,5597,,,,,
HD 4313 b,Confirmed,2.3,0.2,0.2,2.3,0.2,0.2,0,,,356,2.6,2.6,1.19,0.03,0.03,0.041,0.037,0.037,,,,0.008686,2010,3/19/10,76,80,80,2454804,80,80,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 4313,11.4166667,7.845,7.83,,,,,137,14,14,0.14,0.03,0.03,1.72,0.12,0.12,4.9,0.1,0.1,G5 D,2,0.5,0.5,5035,44,44,,,
HD 45350 b,Confirmed,1.79,0.14,0.14,1.79,0.14,0.14,0,,,890.76,37.42,37.42,1.92,0.067,0.067,0.778,0.009,0.009,,,,0.039184,2004,12/22/10,343.4,2.3,2.3,2451825.3,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 45350,97.1875,38.9627778,7.88,,,,,49,,,0.29,,,1.02,,,1.27,,,G5 IV,5.59,,,5754,,,,,
HD 46375 b,Confirmed,0.23,,,0.23,,,1.02,,,3.02358,6.45E-05,6.45E-05,0.041,,,0.0524,0.032,0.0229,,,,0.001228,2000,2/24/15,113.7,34.3,34.3,2451920.7,,,,,,,,,,,,,,,,,,,,,33.67,0.81,0.81,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 46375,98.3,5.4627778,7.94,,,,,33.4,,,0.24,,,0.91,,,1,,,K1 IV,4.96,,,5199,,,IR Excess,,
HD 47366 b,Confirmed,1.75,0.2,0.2,1.75,0.2,0.2,0,,,363.3,2.5,2.5,1.214,0.03,0.03,0.089,0.06,0.079,,,,,2016,1/19/16,100,71,100,2450122,55,71,,,,,,,,,,,,,,,,,,,33.6,2.8,3.6,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 47366,99.42083335,-12.98500002,6.11,,,,,80,2.7,2.7,-0.02,0.09,0.09,1.81,0.13,0.13,7.3,0.33,0.33,K1III,1.61,0.53,0.53,4866,100,100,,,
HD 47366 c,Confirmed,1.86,0.16,0.16,1.86,0.16,0.16,0,,,684.7,5,5,1.853,0.045,0.045,0.278,0.064,0.067,,,,,2016,1/19/16,132,20,17,2450445,62,55,,,,,,,,,,,,,,,,,,,30.1,2.1,2.1,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 47366,99.42083335,-12.98500002,6.11,,,,,80,2.7,2.7,-0.02,0.09,0.09,1.81,0.13,0.13,7.3,0.33,0.33,K1III,1.61,0.53,0.53,4866,100,100,,,
HD 4747 b,Confirmed,60.2,3.3,3.3,,,,0,,,13835.67,285,314,16.4,3.3,3.9,0.74,0.002,0.002,66.8,6.4,4.7,,2016,8/21/16,,,,,,,,,,,,,,,,,,,,,,,,,755.3,11.6,12.4,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 4747,12.36152238,-23.21248221,7.15,,,,,18.69,0.19,0.19,-0.22,0.04,0.04,0.82,0.04,0.04,0.79,0.03,0.03,G9V,3.3,1.9,2.3,5340,40,40,,,
HD 47536 b,Confirmed,5,,,5,,,0,,,430,,,1.61,,,0.2,0.08,0.08,,,,0.013266,2003,8/10/12,260.8,23.7,23.7,2451599.36,21.5,21.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 47536,99.4458333,-32.3397222,5.25,,,,,121.36,8.25,8.25,-0.68,,,0.94,0.06,0.06,23.47,1.97,1.97,K1 III,9.33,1.88,1.88,4380,,,,,
HD 49674 b,Confirmed,0.1,,,0.1,,,0.98,,,4.94739,0.000974925,0.000974925,0.058,0.0033,0.0033,0.0495,0.0691,0.0495,,,,0.001425,2002,2/27/15,263.9,79.3,79.3,2452308.9,,,,,,,,,,,,,,,,,,,,,11.78,1.18,1.18,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 49674,102.875,40.8675,8.1,,,,,40.7,,,0.25,,,1.07,,,0.94,,,G5 V,2.38,,,5482,,,,,
HD 50499 b,Confirmed,1.71,0.2,0.2,1.71,0.2,0.2,0,,,2482.7,110,110,3.86,0.6,0.6,0.23,0.14,0.14,,,,0.081676,2005,12/29/10,262,36,36,61234.6,225,225,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 50499,103.0083333,-33.9155556,7.22,,,,,47.26,,,0.23,,,1.27,,,1.38,,,G IV,6,,,5902,,,IR Excess,,
HD 50554 b,Confirmed,5.16,,,5.16,,,0,,,1293,37,37,2.41,,,0.5,0.03,0.03,,,,0.077667,2002,12/30/10,355.7,4.4,4.4,2451832.4,15,15,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 50554,103.675,24.2455556,6.86,,,,,31.03,,,-0.07,,,1.04,,,1.11,0.33,0.33,F8,4.58,,,5902,,,IR Excess,,
HD 52030 b,Candidate,13.3,2.3,2.3,13.3,2.3,2.3,0,,,484.3,4.2,4.2,1.2,0.1,0.1,0.14,0.14,0.14,,,,,2017,7/2/17,240.3,26.4,26.4,2566185.7,90,90,,,,,,,,,,,,,,,,,,,329,21.8,21.8,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J07055168+7043551| TYC 4363-1031-1 ,,HD 52030,106.4652917,70.73192503,6.49,,,,,336.4,63.6,63.6,-0.54,0.08,0.08,1.09,0.16,0.16,53,6.1,6.1,K0 III,5.9,2.9,2.9,3970,30,30,,,
HD 52265 b,Confirmed,1.05,0.03,0.03,1.05,0.03,0.03,0,,,119.6,0.4,0.4,0.5,,,0.35,0.03,0.03,,,,0.017857,2000,7/4/13,211,6,6,51422.3,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 52265,105.075,-5.3669444,6.3,,,,,28,,,0.21,0.06,0.06,1.2,,,1.25,,,G0 V,4.88,,,6159,53,53,IR Excess,,
HD 52265 c,Confirmed,0.35,0.09,0.09,0.35,0.09,0.09,0,,,59.9,0.2,0.2,0.316,0.003,0.003,0.05,0.1,0.1,,,,,2013,7/4/13,358,35,35,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 52265,105.075,-5.3669444,6.3,,,,,28,,,0.21,0.06,0.06,1.2,,,1.25,,,G0 V,4.88,,,6159,53,53,IR Excess,,
HD 5319 b,Confirmed,1.94,,,1.94,,,0,,,675,17,17,1.75,,,0.12,0.08,0.08,,,,0.0175,2007,10/31/07,76,35,35,13068,77,77,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Announced on a professional conference,Radial Velocity,,,,,HD 5319,13.7541667,0.7894444,8.05,,,,,100,10,10,0.15,0.05,0.05,1.56,0.18,0.18,3.26,0.41,0.41,G5IV,2.4,0.68,0.68,5052,50,50,,,
HD 5319 c,Confirmed,1.15,0.08,0.08,1.15,0.08,0.08,0,,,886,8,8,2.071,0.013,0.013,0.15,0.06,0.06,,,,,2016,8/10/16,252,34,34,,,,,,,,,,,,,,,,,,,,,,18.8,1.3,1.3,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 5319,13.7541667,0.7894444,8.05,,,,,100,10,10,0.15,0.05,0.05,1.56,0.18,0.18,3.26,0.41,0.41,G5IV,2.4,0.68,0.68,5052,50,50,,,
HD 5583 b,Confirmed,5.78,0.53,0.53,5.78,0.53,0.53,0,,,139.35,0.22,0.22,0.53,0.02,0.02,0.076,0.023,0.07,,,,,2016,3/21/16,12,6,330,2456021,18,18,,,,,,,,,,,,,,,,,,,225.8,4,4.5,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 5583,14.48750002,34.98555558,7.6,,,,,221,4,4,-0.5,0.18,0.18,1.01,0.1,0.1,9.09,1.5,1.5,K0,7.4,,,4830,45,45,,,
HD 564 b,Confirmed,0.33,0.03,0.03,0.33,0.03,0.03,0,,,492.3,2.3,2.3,1.2,0.02,0.02,0.096,0.067,0.067,,,,,2014,1/8/15,314,31,31,2455433,9,9,,,,,,,,,,,,,,,,,,,8.79,0.45,0.45,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 564,2.470833351,-50.26777778,8.29,,,,,54,2.5,2.5,0.13,0.06,0.06,0.92,0.03,0.03,1.01,0.05,0.05,G3V,5.5,3.1,3.1,5902,61,61,,,
HD 5891 b,Confirmed,7.6,0.4,0.4,7.6,0.4,0.4,0,,,177.11,0.31,0.31,0.76,0.02,0.02,0.066,0.02,0.02,,,,0.003028,2011,9/2/11,360,30,30,2455432,10,10,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 5891,15.1375,20.2925,8.25,,,,,251,76,76,-0.02,0.03,0.03,1.91,0.13,0.13,8.7,0.2,0.2,G5D,1.5,0.8,0.8,4907,44,44,,,
HD 59686 A b,Confirmed,6.92,0.24,0.18,6.92,0.24,0.18,0,,,299.36,0.31,0.26,1.086,0.0007,0.0006,0.05,0.02,0.03,,,,0.009902,2003,8/3/16,,,,,,,,,,,,,,,,,,,,,,,,,136.9,4.6,3.8,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,HR 2877 b| HIP 36616 b,,HD 59686 A,112.95,17.0858333,5.45,,,,,96.8,2.6,2.7,0.15,0.1,0.1,1.9,0.2,0.2,13.2,0.3,0.3,K2 III,1.73,0.47,0.47,4658,24,24,,,HR 2877| HIP 36616
HD 6434 b,Confirmed,0.39,,,0.39,,,0,,,21.998,0.0009,0.0009,0.14,,,0.17,0.03,0.03,,,,0.003472,2000,12/30/10,156,11,11,51490.8,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 6434,16.1666667,-39.4880556,7.72,,,,,40.32,,,-0.52,,,0.79,,,0.57,,,G3 IV,3.8,,,5835,,,,,
HD 66141 b,Confirmed,6,0.3,0.3,6,0.3,0.3,0,,,480.5,0.5,0.5,1.2,0.1,0.1,0.07,0.03,0.03,,,,,2012,11/12/12,22.1,3.5,3.5,2451320.8,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 66141,120.5667,2.3344,4.39,,,,,80.9,6.3,6.3,-0.32,0.034,0.034,1.1,0.1,0.1,21.4,0.6,0.6,K2III,6.84,1.39,1.39,4305,15,15,,,
HD 67087 b,Confirmed,3.06,0.2,0.22,3.06,0.2,0.22,0,,,352.2,1.7,1.7,1.08,0.04,0.04,0.17,0.07,0.07,,,,,2015,7/27/15,284,17,21,2450154.8,29.1,26.3,,,,,,,,,,,,,,,,,,,73.6,3.9,4.4,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 67087,121.9166667,31.5513889,8.05,,,,,88.8,,,0.25,0.04,0.04,1.36,0.04,0.04,1.55,0.32,0.32,F8 V,1.45,0.51,0.51,6330,47,47,,,
